id,hist_id,operation,snapshot,operator,created
1,1,create,"{""version"": ""0000"", ""name"": ""init"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""f22e897abb0b7c91896d24982e546055d03a3c3e""}}, ""dependencies"": [], ""checksum"": ""8f806e730fa5ce5ec9b7a91fe8807ad1f9387d9f""}",,2026-09-15 03:16:28
2,1,update_succ,"{""version"": ""0000"", ""name"": ""init"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""f22e897abb0b7c91896d24982e546055d03a3c3e""}}, ""dependencies"": [], ""checksum"": ""8f806e730fa5ce5ec9b7a91fe8807ad1f9387d9f""}",,2026-09-15 03:16:28
3,2,create,"{""version"": ""0001"", ""name"": ""add_address_to_user_tab"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""19263a7db857579afd764da19e16ac7ce625f5a5""}, ""backward"": {""id"": ""f22e897abb0b7c91896d24982e546055d03a3c3e""}}, ""dependencies"": [{""version"": ""0000"", ""name"": ""init""}], ""checksum"": ""933c4af16c90a9c07920f93b85481dbe76bc3a14""}",,2026-09-15 03:19:42
4,2,update_succ,"{""version"": ""0001"", ""name"": ""add_address_to_user_tab"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""19263a7db857579afd764da19e16ac7ce625f5a5""}, ""backward"": {""id"": ""f22e897abb0b7c91896d24982e546055d03a3c3e""}}, ""dependencies"": [{""version"": ""0000"", ""name"": ""init""}], ""checksum"": ""933c4af16c90a9c07920f93b85481dbe76bc3a14""}",,2026-09-15 03:19:42
5,3,create,"{""version"": ""0002"", ""name"": ""seed_user_table"", ""author"": """", ""type"": ""data"", ""change"": {""forward"": {""type"": ""sql"", ""sql"": ""INSERT INTO `user` (`id`, `name`, `address`) VALUES (1, 'foo', 'bar');""}, ""backward"": {""type"": ""sql"", ""sql"": ""DELETE FROM `user` WHERE `id`=1;""}}, ""dependencies"": [{""version"": ""0001"", ""name"": ""add_address_to_user_tab""}], ""checksum"": ""23d08a710d88883d39603b24bbe9145930569e08""}",,2026-09-15 03:22:53
6,3,update_succ,"{""version"": ""0002"", ""name"": ""seed_user_table"", ""author"": """", ""type"": ""data"", ""change"": {""forward"": {""type"": ""sql"", ""sql"": ""INSERT INTO `user` (`id`, `name`, `address`) VALUES (1, 'foo', 'bar');""}, ""backward"": {""type"": ""sql"", ""sql"": ""DELETE FROM `user` WHERE `id`=1;""}}, ""dependencies"": [{""version"": ""0001"", ""name"": ""add_address_to_user_tab""}], ""checksum"": ""23d08a710d88883d39603b24bbe9145930569e08""}",,2026-09-15 03:22:53
7,3,update_rollback,"{""version"": ""0002"", ""name"": ""seed_user_table"", ""author"": """", ""type"": ""data"", ""change"": {""forward"": {""type"": ""sql"", ""sql"": ""INSERT INTO `user` (`id`, `name`, `address`) VALUES (1, 'foo', 'bar');""}, ""backward"": {""type"": ""sql"", ""sql"": ""DELETE FROM `user` WHERE `id`=1;""}}, ""dependencies"": [{""version"": ""0001"", ""name"": ""add_address_to_user_tab""}], ""checksum"": ""23d08a710d88883d39603b24bbe9145930569e08""}",,2026-09-15 03:24:47
8,3,delete,"{""version"": ""0002"", ""name"": ""seed_user_table"", ""author"": """", ""type"": ""data"", ""change"": {""forward"": {""type"": ""sql"", ""sql"": ""INSERT INTO `user` (`id`, `name`, `address`) VALUES (1, 'foo', 'bar');""}, ""backward"": {""type"": ""sql"", ""sql"": ""DELETE FROM `user` WHERE `id`=1;""}}, ""dependencies"": [{""version"": ""0001"", ""name"": ""add_address_to_user_tab""}], ""checksum"": ""23d08a710d88883d39603b24bbe9145930569e08""}",,2026-09-15 03:24:47
9,2,update_rollback,"{""version"": ""0001"", ""name"": ""add_address_to_user_tab"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""19263a7db857579afd764da19e16ac7ce625f5a5""}, ""backward"": {""id"": ""f22e897abb0b7c91896d24982e546055d03a3c3e""}}, ""dependencies"": [{""version"": ""0000"", ""name"": ""init""}], ""checksum"": ""933c4af16c90a9c07920f93b85481dbe76bc3a14""}",,2026-09-15 03:24:47
10,2,delete,"{""version"": ""0001"", ""name"": ""add_address_to_user_tab"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""19263a7db857579afd764da19e16ac7ce625f5a5""}, ""backward"": {""id"": ""f22e897abb0b7c91896d24982e546055d03a3c3e""}}, ""dependencies"": [{""version"": ""0000"", ""name"": ""init""}], ""checksum"": ""933c4af16c90a9c07920f93b85481dbe76bc3a14""}",,2026-09-15 03:24:48
